id,stem,answer,solution_approach,detailed_solution,category,subcategory,difficulty_score,difficulty_band,frequency_band,frequency_notes,learning_impact,learning_impact_band,importance_index,importance_band,video_url,tags,source,version,is_active,created_at
589dde42-883c-4e6a-9681-02aaf5a1110f,A chord of length 8 cm is drawn in a circle of radius 5 cm. Find the distance of the chord from the center.,3 cm,Standard approach,Detailed solution pending,Circles,Circles,2.22,Easy,Low,Appears in 0-3 of last 10 years,45.5,Medium,37.5,Low,https://youtube.com/watch?v=cat_prep_general,,Diagnostic,1,True,2025-08-11T08:38:01.914773
44fadb62-ace7-4a72-9a96-579a9569366d,"In a right triangle, one angle is 30°. If the hypotenuse is 10 cm, find the length of the side opposite to 30°.",5 cm,Standard approach,Detailed solution pending,Triangles,Triangles,2.45,Medium,Medium,Appears in 4-7 of last 10 years,45.5,Medium,53.62,Medium,https://youtube.com/watch?v=cat_prep_general,,Diagnostic,1,True,2025-08-11T08:37:53.733653
acd1eda7-6886-4a19-9ec1-8e0a2864e884,Find the domain of f(x) = 1/(x-2).,R - {2},Standard approach,Detailed solution pending,Functions & Graphs,Functions & Graphs,2.22,Easy,Low,Appears in 0-3 of last 10 years,45.5,Medium,37.5,Low,https://youtube.com/watch?v=cat_prep_general,,Diagnostic,1,True,2025-08-11T08:37:45.078077
dc4f7137-07ee-4573-b905-c16eca2e6902,"In an AP, if the first term is 5 and common difference is 3, what is the 10th term?",32,Standard approach,Detailed solution pending,Progressions,Time–Speed–Distance (TSD),1.88,Easy,Low,Appears in 0-3 of last 10 years,53.0,Medium,37.62,Low,https://youtube.com/watch?v=tsd_basics,,Diagnostic,1,True,2025-08-11T08:37:34.645499
976826e6-dd54-416c-adc9-1a10420c132a,"If |x - 3| = 5, find all possible values of x.",8 or -2,Standard approach,Detailed solution pending,Inequalities,Time–Speed–Distance (TSD),1.8,Easy,Low,Appears in 0-3 of last 10 years,53.0,Medium,37.25,Low,https://youtube.com/watch?v=tsd_basics,,Diagnostic,1,True,2025-08-11T08:37:22.086396
7f49f76d-1425-4a38-b127-4f16d774ebbd,Find the value of x if x² - 5x + 6 = 0.,2 or 3,Standard approach,Detailed solution pending,Quadratic Equations,Quadratic Equations,2.5,Medium,Medium,Appears in 4-7 of last 10 years,45.5,Medium,53.88,Medium,https://youtube.com/watch?v=quadratic_solving,,Diagnostic,1,True,2025-08-11T08:37:09.879736
de860dc8-dd74-4d8f-9c7b-e35d18f69131,"The average of 5 numbers is 27. If one more number is added, the average becomes 25. What is the sixth number?",15,Standard approach,Detailed solution pending,Averages & Alligation,Averages & Alligation,1.88,Easy,Low,Appears in 0-3 of last 10 years,45.5,Medium,35.75,Low,https://youtube.com/watch?v=cat_prep_general,,Diagnostic,1,True,2025-08-11T08:36:59.677835
8749488d-c791-459d-be84-884399fd478c,A shopkeeper marks an article 30% above cost price and gives 20% discount. Find his profit percentage.,4%,Standard approach,Detailed solution pending,Profit–Loss–Discount (PLD),Profit–Loss–Discount (PLD),2.08,Easy,Low,Appears in 0-3 of last 10 years,45.5,Medium,36.75,Low,https://youtube.com/watch?v=cat_prep_general,,Diagnostic,1,True,2025-08-11T08:36:48.051099
5a586f2b-3f63-4d80-ae6d-853161a90471,"The ratio of ages of A and B is 3:4. If A is 15 years old, what is B's age?",20 years,Standard approach,Detailed solution pending,Ratio–Proportion–Variation,Ratio–Proportion–Variation,1.92,Easy,Low,Appears in 0-3 of last 10 years,51.75,Medium,37.56,Low,https://youtube.com/watch?v=cat_prep_general,,Diagnostic,1,True,2025-08-11T08:36:38.941505
06028890-24c1-49b9-89de-0210920d33f7,Two trains approach each other at speeds of 60 km/h and 40 km/h. They are initially 200 km apart. After how much time will they meet?,2 hours,Standard approach,Detailed solution pending,Time–Speed–Distance (TSD),Time–Speed–Distance (TSD),1.95,Easy,Low,Appears in 0-3 of last 10 years,53.0,Medium,38.0,Low,https://youtube.com/watch?v=tsd_basics,,Diagnostic,1,True,2025-08-11T08:36:29.489167
8a22cd16-fe3a-4e6f-bf33-4afee54220cc,"In a class of 30 students, 18 study Mathematics and 12 study Physics. If 5 students study both subjects, how many study neither?",5,Standard approach,Detailed solution pending,Set Theory & Venn Diagrams,Set Theory & Venn Diagrams,2.22,Easy,Low,Appears in 0-3 of last 10 years,45.5,Medium,37.5,Low,https://youtube.com/watch?v=cat_prep_general,,Sample,1,True,2025-08-11T08:36:09.155054
a68ee455-e2ba-44c7-ba8c-16944e222f5c,A number when divided by 7 leaves remainder 3. What remainder will it leave when divided by 14?,3 or 10,Standard approach,Detailed solution pending,Remainders & Modular Arithmetic,Remainders & Modular Arithmetic,1.88,Easy,Low,Appears in 0-3 of last 10 years,45.5,Medium,35.75,Low,https://youtube.com/watch?v=cat_prep_general,,Sample,1,True,2025-08-11T08:35:54.915730
74ff46d9-0616-497f-be0b-6b57e262da2b,What is the circumference of a circle with radius 7 cm? (Take π = 22/7),44 cm,Standard approach,Detailed solution pending,Circles,Circles,2.22,Easy,Low,Appears in 0-3 of last 10 years,45.5,Medium,37.5,Low,https://youtube.com/watch?v=cat_prep_general,,Sample,1,True,2025-08-11T08:35:43.626987
c37f323c-a3ed-44ef-9941-2b4f57328c35,Find the value of log₂ 8.,3,Standard approach,Detailed solution pending,Logarithms & Exponents,Logarithms & Exponents,2.15,Easy,Low,Appears in 0-3 of last 10 years,45.5,Medium,37.12,Low,https://youtube.com/watch?v=cat_prep_general,,Sample,1,True,2025-08-11T08:35:35.056546
ac6c6840-fe73-48aa-8752-03fe0d0dcab3,A car travels from city A to city B at 40 km/h and returns at 60 km/h. What is the average speed for the entire journey?,48 km/h,Standard approach,Detailed solution pending,Time–Speed–Distance (TSD),Time–Speed–Distance (TSD),1.95,Easy,Low,Appears in 0-3 of last 10 years,53.0,Medium,38.0,Low,https://youtube.com/watch?v=tsd_basics,,Sample,1,True,2025-08-11T08:35:19.825792
71e26976-f3b0-432f-a0e1-a483eabbb336,Simple Interest on ₹1000 at 10% per annum for 2 years is:,₹200,Standard approach,Detailed solution pending,Simple & Compound Interest (SI–CI),Simple & Compound Interest (SI–CI),1.95,Easy,Low,Appears in 0-3 of last 10 years,45.5,Medium,36.12,Low,https://youtube.com/watch?v=cat_prep_general,,Sample,1,True,2025-08-11T08:35:07.936532
3712e131-8890-42f5-9a5b-a85bbd69083d,The probability of getting a head when a coin is tossed is:,0.5,Standard approach,Detailed solution pending,Probability,Time–Speed–Distance (TSD),1.8,Easy,Low,Appears in 0-3 of last 10 years,53.0,Medium,37.25,Low,https://youtube.com/watch?v=tsd_basics,,Sample,1,True,2025-08-11T08:34:55.154553
e42b6de1-6066-4b29-a543-d28be55c058d,"If x² - 7x + 12 = 0, find the sum of the roots.",7,Standard approach,Detailed solution pending,Quadratic Equations,Quadratic Equations,2.57,Medium,Medium,Appears in 4-7 of last 10 years,45.5,Medium,54.25,Medium,https://youtube.com/watch?v=quadratic_solving,,Sample,1,True,2025-08-11T08:34:46.856557
b944bb77-493a-4613-8f74-18af48876603,A man can complete a job in 12 days. A woman can complete the same job in 18 days. How long will it take if they work together?,7.2 days,Standard approach,Detailed solution pending,Time & Work,Time–Speed–Distance (TSD),1.88,Easy,Low,Appears in 0-3 of last 10 years,53.0,Medium,37.62,Low,https://youtube.com/watch?v=tsd_basics,,Sample,1,True,2025-08-11T08:34:36.080646
2e262227-7706-4805-b4bd-e3159a6fefbc,In how many ways can 5 people be arranged in a row?,120,Standard approach,Detailed solution pending,Permutation–Combination (P&C),Permutation–Combination (P&C),2.22,Easy,Low,Appears in 0-3 of last 10 years,45.5,Medium,37.5,Low,https://youtube.com/watch?v=cat_prep_general,,Sample,1,True,2025-08-11T08:34:21.852960
b147861a-eec6-4b2f-963a-2d401fb2d4cf,What is the HCF of 24 and 36?,12,Standard approach,Detailed solution pending,HCF–LCM,HCF–LCM,1.8,Easy,Low,Appears in 0-3 of last 10 years,45.5,Medium,35.38,Low,https://youtube.com/watch?v=cat_prep_general,,Sample,1,True,2025-08-11T08:34:10.627899
86ad2ccf-1870-41c2-9962-c8b8ad91d5bd,Find the area of a triangle with base 10 cm and height 8 cm.,40 cm²,Standard approach,Detailed solution pending,Triangles,Mensuration (2D & 3D),2.22,Easy,Low,Appears in 0-3 of last 10 years,45.5,Medium,37.5,Low,https://youtube.com/watch?v=cat_prep_general,,Sample,1,True,2025-08-11T08:33:59.619164
cbcee79e-1221-4d98-a112-121e15914f4d,Solve for x: 2x + 5 = 13,4,Standard approach,Detailed solution pending,Linear Equations,Linear Equations,2.15,Easy,High,Appears in 8-10 of last 10 years,50.5,Medium,73.38,High,https://youtube.com/watch?v=linear_equations,,Sample,1,True,2025-08-11T08:33:51.369857
a7264372-2847-4d1b-a70e-48cf7a07a954,"If 20% of a number is 80, what is 25% of that number?",100,Standard approach,Detailed solution pending,Percentages,Time–Speed–Distance (TSD),1.95,Easy,Low,Appears in 0-3 of last 10 years,53.0,Medium,38.0,Low,https://youtube.com/watch?v=tsd_basics,,Sample,1,True,2025-08-11T08:33:41.539114
a6d0c139-6100-4551-aa78-6bc602fd6f59,A train travels at 60 km/h and covers a distance of 240 km. How much time does it take?,4 hours,Standard approach,Detailed solution pending,Time–Speed–Distance (TSD),Time–Speed–Distance (TSD),1.95,Easy,Low,Appears in 0-3 of last 10 years,53.0,Medium,38.0,Low,https://youtube.com/watch?v=tsd_basics,,Sample,1,True,2025-08-11T08:33:29.208803
